127.0.0.1 - - [05/Dec/2018:20:22:29 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:28:38 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:36:49 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:37:35 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:37:47 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:38:01 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:38:16 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:38:28 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:38:40 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:38:52 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [05/Dec/2018:20:39:05 +0100] "PATCH /com.dotzet.rest.jersey.crud.suppliers/api/suppliers/update HTTP/1.1" 200 360
